Time (s),Position X (m),Position Y (m),Velocity (m/s),Heading,Yawrate,Length (m),Width (m),Vehicle Number,Agent_Type,Vx,Vy,Ax,Ay,V_lon,V_lat,A_lon,A_lat,2_Position X (m),2_Position Y (m),2_Velocity (m/s),2_Heading,2_Yawrate,2_Length (m),2_Width (m),2_Vehicle Number,2_Agent_Type,2_Vx,2_Vy,2_Ax,2_Ay,2_V_lon,2_V_lat,2_A_lon,2_A_lat
1259.3,5.501,9.538,4.548,0.014,0.0,1.688,0.809,563,motorcycle,4.548,0.063,-0.911,-0.012,4.548,-0.0,-0.911,0.0,16.044,-7.352,5.694,1.585,0.0,4.51,1.8,565,car,-0.08,5.693,-0.012,1.144,5.694,0.0,1.144,-0.004
1259.4,5.957,9.539,4.444,0.014,0.0,1.688,0.809,563,motorcycle,4.444,0.062,-0.96,-0.013,4.444,-0.0,-0.96,0.0,16.047,-6.786,5.806,1.585,0.0,4.51,1.8,565,car,-0.081,5.805,-0.012,1.123,5.806,0.001,1.123,-0.004
1259.5,6.404,9.539,4.336,0.014,0.0,1.688,0.809,563,motorcycle,4.335,0.06,-1.009,-0.014,4.336,-0.0,-1.009,0.0,16.047,-6.194,5.908,1.585,0.0,4.51,1.8,565,car,-0.082,5.908,-0.011,1.055,5.908,0.0,1.055,-0.004
1259.6,6.839,9.54,4.221,0.014,0.0,1.688,0.809,563,motorcycle,4.221,0.059,-1.061,-0.015,4.221,-0.0,-1.061,0.0,16.045,-5.586,5.99,1.585,0.0,4.51,1.8,565,car,-0.083,5.989,-0.01,0.914,5.99,-0.0,0.914,-0.003
1259.7,7.264,9.541,4.101,0.014,0.0,1.688,0.809,563,motorcycle,4.1,0.057,-1.116,-0.015,4.101,-0.0,-1.116,0.0,16.044,-4.967,6.037,1.585,0.0,4.51,1.8,565,car,-0.084,6.036,-0.008,0.691,6.037,-0.0,0.691,-0.002
1259.8,7.678,9.542,3.974,0.014,0.0,1.688,0.809,563,motorcycle,3.973,0.055,-1.176,-0.016,3.974,-0.0,-1.176,0.0,16.041,-4.343,6.04,1.585,0.0,4.51,1.8,565,car,-0.084,6.04,-0.004,0.396,6.04,-0.0,0.396,-0.001
1259.9,8.078,9.543,3.84,0.014,0.0,1.688,0.809,563,motorcycle,3.839,0.054,-1.239,-0.017,3.84,-0.0,-1.239,0.0,16.037,-3.722,5.999,1.585,0.0,4.51,1.8,565,car,-0.083,5.998,-0.0,0.059,5.999,-0.0,0.059,-0.0
1260.0,8.464,9.544,3.698,0.014,0.0,1.688,0.809,563,motorcycle,3.698,0.052,-1.306,-0.018,3.698,-0.0,-1.307,0.0,16.032,-3.11,5.917,1.585,0.0,4.51,1.8,565,car,-0.082,5.916,0.004,-0.29,5.917,-0.0,-0.29,0.0
1260.1,8.838,9.545,3.549,0.014,0.0,1.688,0.809,563,motorcycle,3.549,0.049,-1.378,-0.019,3.549,-0.0,-1.378,0.0,16.025,-2.51,5.8,1.585,0.0,4.51,1.8,565,car,-0.081,5.8,0.008,-0.628,5.8,-0.0,-0.628,0.0
1260.2,9.196,9.546,3.392,0.014,0.0,1.688,0.809,563,motorcycle,3.391,0.047,-1.454,-0.02,3.392,-0.0,-1.454,0.0,16.017,-1.927,5.655,1.585,-0.0024,4.51,1.8,565,car,-0.079,5.655,0.013,-0.942,5.655,-0.0,-0.942,0.0
